docidx	widx
41	5732
41	5889
41	5889
41	5889
41	5889
41	5889
41	5889
41	6432
41	6507
42	8
42	10
42	135
42	540
42	540
42	540
42	540
42	540
42	541
42	1307
42	1810
42	1923
42	1923
42	1969
42	2391
42	2613
42	3191
42	3253
42	3551
42	3788
42	4631
42	4794
42	5087
42	5587
42	5864
42	5865
42	5977
42	6231
42	6602
42	6729
43	61
43	576
43	1095
43	1704
43	2613
43	5241
43	5932
43	6720
43	6720
44	1265
44	1329
44	1559
44	2076
44	2079
44	2080
44	2080
44	3811
44	3813
44	5224
44	5228
44	6442
44	6725
44	6727
45	824
45	1439
45	1449
45	2781
45	2938
45	2938
45	3156
45	3156
45	3330
45	3330
45	3330
45	3330
45	3468
45	3468
45	3468
45	3780
45	3780
45	3780
45	3860
45	4234
45	4685
45	5224
45	5273
45	5449
45	5470
45	5470
45	5489
45	6593
45	6593
46	62
46	117
46	774
46	2417
46	2535
46	3136
46	3226
46	3856
46	3856
46	3856
46	3856
46	3856
46	3857
46	3857
46	4647
46	6204
47	1365
47	1763
47	1929
47	2278
47	2278
47	2278
47	2278
47	2281
47	2281
47	2281
47	2281
47	2673
47	3921
47	4885
47	4885
47	4885
47	4885
47	4885
47	5341
47	5341
47	5341
47	5341
47	5343
47	5343
47	5714
47	6477
47	6608
48	141
48	3100
48	3860
48	3860
48	3860
48	3875
48	3875
48	3875
48	4351
48	4800
48	5491
48	5491
48	5491
48	5530
48	6568
48	6593
49	667
49	667
49	1095
49	1095
49	1123
49	1127
49	1185
49	2440
49	3350
49	3350
49	3356
49	3356
49	3563
49	3860
49	4029
49	4253
49	4478
49	4743
49	4837
49	5493
49	5497
49	5720
49	5883
49	6054
49	6482
49	6608
49	6720
49	6737
50	526
50	889
50	1250
50	1434
50	1858
50	2246
50	2722
50	3144
50	3636
50	4978
50	5136
50	5714
50	6209
51	526
51	1036
51	1122
51	1955
51	2035
51	2063
51	2879
51	3959
51	4097
51	4097
51	4097
51	4097
51	4097
51	4098
51	4098
51	4099
51	4500
51	5224
51	5229
51	5463
51	5703
51	5703
51	6207
51	6512
51	6680
52	239
52	272
52	390
52	898
52	921
52	1026
52	1026
52	1191
52	1250
52	1250
52	1256
52	1368
52	1368
52	1740
52	2010
52	2123
52	2435
52	2435
52	2635
52	2635
52	2654
52	3032
52	3244
52	3527
52	3527
52	3527
52	3622
52	3636
52	3700
52	3811
52	4490
52	4526
52	4596
52	4902
52	4931
52	4933
52	5222
52	5459
52	5714
52	5845
52	6423
52	6465
52	6515
52	6593
52	6593
52	6747
53	310
53	390
53	1592
53	1593
53	1711
53	1951
53	2101
53	2101
53	2101
53	2101
53	2285
53	2285
53	2285
53	2285
53	2285
53	2289
53	2289
53	2289
53	2464
53	2577
53	2577
53	2577
53	2579
53	2653
53	2654
53	2980
53	3216
53	3365
53	3367
53	3401
53	3401
53	3527
53	3555
53	3648
53	3811
53	4113
53	4129
53	4358
53	4358
53	4381
53	4612
53	5406
53	5449
53	5452
53	5602
53	5604
53	5883
53	5883
53	6569
54	564
54	611
54	976
54	1028
54	1279
54	1836
54	2101
54	2101
54	2101
54	2278
54	2283
54	2285
54	2285
54	2285
54	2285
54	2285
54	2289
54	2289
54	2289
54	2289
54	2289
54	2289
54	2289
54	2289
54	2289
54	2289
54	2490
54	2700
54	2736
54	3245
54	3276
54	3358
54	3367
54	3444
54	3453
54	3488
54	3815
54	4402
54	4569
54	4744
54	4758
54	5087
54	5203
54	5204
54	5604
54	5604
54	5604
54	5614
54	5845
54	6463
54	6514
54	6569
55	79
55	162
55	526
55	1423
55	1440
55	1440
55	1629
55	2403
55	3100
55	3100
55	3739
55	3860
55	3860
55	3875
55	3875
55	3875
55	4338
55	4351
55	4351
55	4351
55	4579
55	4799
55	4800
55	5328
55	5484
55	5489
55	5491
55	5610
55	5692
55	5692
55	6065
56	390
56	1014
56	1421
56	1421
56	1421
56	1421
56	1421
56	1421
56	1421
56	1421
56	1606
56	1676
56	1676
56	1677
56	1677
56	1677
56	1677
56	1679
56	1858
56	2010
56	2213
56	2213
56	2213
56	2213
56	2481
56	3103
56	3103
56	3546
56	3546
56	3850
56	3850
56	3850
56	3850
56	3850
56	3850
56	4353
56	4667
56	5426
56	5818
56	5818
56	5923
56	6454
57	266
57	266
57	421
57	421
57	421
57	636
57	637
57	835
57	835
57	1339
57	1492
57	1652
57	1652
57	1654
57	1654
57	2435
57	2487
57	2487
57	2938
57	3603
57	3603
57	3670
57	3930
57	3930
57	3930
57	3930
57	3930
57	4129
57	4402
57	4402
57	4502
57	4996
57	5087
57	5156
57	6593
57	6593
58	88
58	488
58	488
58	490
58	491
58	491
58	491
58	491
58	491
58	1231
58	1425
58	1673
58	1673
58	1716
58	1795
58	1858
58	1858
58	2161
58	2435
58	2469
58	2654
58	2654
58	3060
58	3395
58	3643
58	3780
58	3780
58	4300
58	5303
58	5456
58	5459
58	5491
58	5491
58	5491
58	5692
