docidx	widx
142	2804
142	3960
142	4402
143	3923
143	843
143	1123
143	1711
144	1413
144	1413
144	3865
144	4300
144	1719
144	5692
144	5491
144	1147
144	5491
144	2640
145	2360
145	6014
145	3808
145	1329
145	3274
146	1425
146	6348
146	4931
146	1717
146	6034
146	3582
146	6535
146	1425
146	5067
146	4237
147	1665
147	5199
147	491
147	5522
147	5556
147	496
147	6388
147	5522
148	6604
148	554
148	4695
148	5733
149	249
149	2576
149	6727
149	3309
149	249
149	249
149	6727
149	601
149	2138
150	1960
150	6138
150	3749
150	6138
150	3245
150	3749
150	3402
150	3749
150	6267
150	3384
150	4965
151	5702
151	4518
151	5507
151	4947
151	4980
151	1673
151	5703
152	2078
152	2010
152	2079
152	6727
152	5543
152	5924
152	2464
152	6727
152	2012
152	3306
152	6727
153	5692
153	5845
153	5845
153	1440
153	5692
153	5610
153	3860
154	1811
154	5063
154	3486
154	3875
154	6018
154	3917
154	6641
154	1807
155	4399
155	827
155	6593
155	4399
156	4105
156	5627
156	5013
156	526
156	526
157	4579
157	257
157	2165
157	476
158	5141
158	2242
158	5136
158	5136
158	4402
158	1288
159	5805
159	3365
159	3365
159	3860
159	4604
159	6380
160	3815
160	4097
160	6593
160	5369
160	1559
160	2289
160	6514
161	4239
161	2428
161	3710
162	5198
162	3860
163	1071
163	5087
163	1081
163	3079
163	125
163	426
164	1585
164	4085
164	3535
164	6593
164	6584
165	4399
165	5489
165	1245
165	3783
165	2917
165	1121
165	1135
165	3860
165	3579
166	138
166	5110
166	3533
166	6512
166	2622
166	2195
166	1628
166	6176
166	6512
166	6438
167	919
167	3403
167	4333
167	3444
167	6637
167	2967
167	3403
167	5804
168	858
168	2278
168	5505
168	5165
168	3203
168	5165
168	3860
168	5505
169	266
169	4965
169	3575
169	1835
169	3406
169	3405
169	4022
169	2115
170	6615
170	3576
170	6729
170	4450
170	5509
170	4233
170	5847
170	5847
170	6615
170	5847
171	4839
171	5262
171	759
171	5262
171	3401
171	2435
171	6720
171	4476
171	5262
171	5262
172	526
172	5583
172	2688
172	5746
172	637
172	5747
172	522
172	6593
172	1326
172	6608
172	4399
172	6593
172	490
173	6361
173	2360
173	1292
173	338
173	4260
173	338
174	2417
174	6194
174	3875
174	3860
174	1077
175	158
175	2289
175	2289
175	2419
175	4353
175	896
176	4500
176	4502
176	4502
176	2012
176	6689
176	3642
176	2012
177	4070
177	1657
177	1130
177	772
177	5710
178	5920
178	3146
178	2178
178	3880
179	4017
179	6729
179	1852
180	3128
180	1201
180	4399
180	2263
180	3960
180	3994
180	5547
181	1345
181	350
181	1985
181	1985
181	919
181	2133
181	6727
181	6720
181	6593
181	4996
181	6727
181	6593
182	3893
182	2241
182	2200
182	4642
182	502
182	635
182	3309
182	3059
182	1558
182	2303
182	6512
183	4137
183	4518
183	83
183	4634
183	5608
183	1221
184	3448
184	2733
184	774
184	407
184	4117
184	1528
184	5897
184	6609
184	4113
184	2146
184	3372
185	2425
185	5343
185	2673
185	4561
185	5829
185	5343
185	3361
185	5342
185	6081
185	1737
185	5342
185	2278
185	2278
185	6608
186	6636
186	4428
186	2319
186	5001
186	6636
186	3372
186	2435
186	6636
186	2289
187	6312
187	6727
187	5727
187	5443
187	6312
187	6727
187	3461
187	6727
187	6727
188	4160
188	6077
188	3279
188	3477
188	2291
188	5149
189	3438
189	5209
189	3876
189	3903
189	4415
190	3797
190	5908
190	79
190	1753
190	5252
191	5845
191	2403
191	3554
191	6608
191	540
191	3860
191	3860
192	5693
192	5603
192	2196
192	1280
192	2692
192	5695
193	2270
194	6593
194	6593
194	514
194	977
194	3367
194	491
195	6593
195	1286
195	5845
195	6356
195	2736
195	6014
195	5204
196	6065
196	748
196	3142
196	5692
196	3390
196	5845
196	4296
196	4297
196	2726
196	4085
196	5845
196	4331
197	753
197	3350
197	3405
197	753
197	3304
197	433
198	3670
198	654
198	3672
198	5107
198	1200
198	4871
198	5224
198	2220
198	5224
198	3670
199	6719
199	6442
199	5535
199	3541
199	5535
199	6689
199	6719
199	1220
200	2659
200	5608
200	4617
200	2659
200	2580
200	5817
200	2469
200	2576
200	2471
200	2471
200	6472
201	1100
201	3822
201	4807
201	2212
201	337
202	5004
202	1559
202	5586
202	3739
202	1329
202	2525
202	6727
202	444
202	5004
202	5477
202	5080
203	6352
203	3060
203	2289
203	2350
203	2289
203	3267
203	491
204	2903
204	2535
204	491
204	5245
204	805
204	1858
204	5805
204	138
204	5135
204	2903
204	2159
204	2903
204	1916
205	3177
205	1272
205	6005
205	1663
205	5331
205	489
205	6593
205	491
206	1394
206	5720
206	5454
206	4901
206	3348
206	559
206	6503
206	5943
207	2106
207	6091
207	3370
207	6653
207	6729
207	4432
208	3350
208	3350
208	3293
208	4965
208	6115
208	4965
208	3929
208	3350
209	5224
209	1559
209	5421
209	4577
209	5463
209	659
210	5714
210	17
210	2232
210	5089
210	5714
210	5714
210	3448
210	5959
210	2033
210	4188
210	4904
210	4904
211	1265
211	6446
211	2988
211	4904
211	6727
211	1990
211	6727
211	2019
212	5463
212	1559
212	1539
212	4700
212	4699
212	1539
212	5157
212	5473
213	3168
213	5269
213	3860
213	5269
213	3169
213	1540
213	5324
214	4266
214	3579
214	6512
214	1810
214	4904
214	4927
214	5714
215	3350
215	464
215	465
216	5507
216	2278
216	5507
216	2281
216	4098
216	4157
216	295
216	2281
216	5507
216	3382
217	239
217	5740
217	3457
217	5740
217	526
217	4880
217	3316
217	240
217	6231
217	6689
218	4977
218	5504
218	5815
218	3350
218	3037
218	4716
218	4850
218	4977
218	3496
219	2471
219	548
219	6682
219	1283
219	6165
219	4097
219	2651
220	6719
220	3850
220	676
220	3850
220	477
220	1279
220	1717
220	1738
220	6412
220	4996
221	2990
221	3132
221	2403
221	1002
221	6593
221	2039
221	752
221	4518
221	6590
221	713
221	713
221	3860
221	713
222	1187
222	1408
222	4569
222	3780
222	5156
222	3578
222	3779
222	6591
222	1301
222	5714
223	2360
223	6679
223	78
223	6729
223	4990
223	5554
223	5805
223	5169
224	3315
224	3472
224	3169
224	1673
224	4904
224	3170
224	6356
224	3169
224	3083
224	3267
224	3472
224	2622
224	5929
225	4450
225	5224
225	6225
225	3922
225	1158
225	6210
225	5949
225	6225
225	2004
226	5467
226	5602
226	1896
226	5880
226	3933
226	366
226	1241
227	1235
227	5947
227	5475
227	50
227	1235
227	2232
227	3309
228	4097
228	2012
228	5224
228	3287
228	5714
228	2234
228	5141
229	4399
229	6608
229	5604
229	5371
229	2285
229	5746
229	5746
229	1100
229	5746
229	3876
230	4562
230	6141
230	5545
230	6140
231	6736
231	4615
231	6048
231	3947
231	3487
232	2012
232	5067
232	5852
232	3273
232	5171
232	3395
232	2236
232	4281
232	6112
232	3577
233	2360
233	5686
233	3642
233	2232
233	830
233	3384
233	2630
234	6535
234	5852
234	957
234	6729
234	2945
234	5583
235	5151
235	3408
235	6214
235	6165
235	3324
235	824
235	1559
235	5463
236	3860
236	5849
236	3079
237	5530
237	3350
237	1207
237	3350
237	5387
238	3814
238	3578
238	3535
238	6593
238	3814
238	4886
238	2795
238	2435
238	431
239	6593
239	1736
239	14
239	5832
239	1585
239	2419
239	4366
239	4519
239	5109
239	3439
239	4394
239	2235
240	4399
240	5491
240	6192
240	526
240	5687
240	4867
241	5865
241	3444
241	6593
241	811
241	5804
241	3796
241	3994
241	3399
241	2804
241	5447
241	867
241	2232
241	3306
242	2278
242	4590
242	5187
242	3156
242	1018
242	1123
242	4739
242	6152
242	3083
242	4381
242	5463
242	3381
243	5554
243	2922
243	995
243	4447
243	5692
243	3880
243	5692
243	3876
243	3875
244	3367
244	5537
244	5491
244	3959
244	4131
244	489
244	5537
244	2101
244	1444
244	491
245	1425
245	5224
245	5224
245	1490
245	5224
245	3813
246	4224
246	1896
246	4800
246	1811
246	3100
247	1168
247	3002
247	3933
248	101
248	3286
248	4619
248	3395
248	3670
249	2283
249	6031
249	418
249	491
249	4623
249	418
249	2026
250	5579
250	5579
250	1673
250	2217
250	6568
250	6593
250	3850
250	3850
250	3966
250	1166
250	5579
250	3850
251	4857
251	316
251	155
251	4854
252	3739
252	2931
252	6260
252	3144
252	131
252	2417
252	5843
253	6727
253	3286
253	5113
253	4997
253	5463
253	3933
254	1369
254	2694
254	5454
254	637
254	5387
254	2532
254	366
254	1012
255	72
255	3601
255	1489
255	5113
255	5113
256	6112
256	6208
256	1952
256	332
256	526
256	5858
256	1836
257	5141
257	2323
257	4736
257	5141
257	5988
257	5141
258	350
258	4394
258	3144
258	350
258	3647
258	3574
258	2464
258	101
258	4103
258	350
258	4296
259	1929
259	4667
259	4589
259	2246
259	4868
259	1667
259	4868
259	1667
260	3678
260	4203
260	6535
260	4502
260	2580
260	17
260	5211
260	3678
261	6647
261	1182
261	4029
261	730
261	5692
261	4096
261	1509
261	3860
261	730
261	3486
261	4965
261	3365
261	2034
261	730
261	6593
261	6065
261	730
261	730
262	1608
262	3779
262	5353
262	5046
262	4521
262	4276
262	5349
262	5456
263	491
263	6023
263	4735
263	5787
263	5194
263	1663
263	5545
263	5108
264	3860
264	5489
264	4415
264	4114
264	5489
264	3365
264	4415
264	3875
264	4415
264	1565
264	5489
264	6684
265	4211
265	2487
265	3169
